1.00,13.10
6.00,13.10
11.00,13.10
16.00,13.30
21.00,13.20
26.00,13.10
31.00,13.00
36.00,12.70
41.00,12.40
46.00,12.20
51.00,12.10
56.00,12.00
61.00,12.00
66.00,12.10
71.00,12.20
76.00,12.20
81.00,12.20
86.00,12.50
91.00,12.70
96.00,12.30
101.00,12.30
106.00,12.30
111.00,12.30
116.00,12.20
121.00,12.10
126.00,12.10
131.00,12.20
136.00,12.30
141.00,12.30
146.00,12.10
151.00,12.00
156.00,12.00
161.00,12.30
166.00,12.40
171.00,12.40
176.00,12.30
181.00,12.30
186.00,12.20
191.00,12.20
196.00,12.40
201.00,12.50
206.00,12.20
211.00,11.90
216.00,11.70
221.00,11.60
226.00,11.70
231.00,12.40
236.00,12.20
241.00,12.20
246.00,12.00
251.00,11.80
256.00,11.50
261.00,11.10
266.00,11.10
271.00,11.20
276.00,11.00
281.00,10.70
286.00,10.40
291.00,10.20
296.00,10.10
301.00,10.20
306.00,10.30
311.00,10.20
316.00,10.00
321.00,9.80
326.00,9.80
331.00,9.50
336.00,9.30
341.00,9.10
346.00,9.00
351.00,9.10
356.00,8.70
361.00,8.70
366.00,8.90
371.00,9.10
376.00,8.70
381.00,8.90
386.00,9.20
391.00,9.20
396.00,9.00
401.00,8.80
406.00,8.50
411.00,8.30
416.00,8.00
421.00,7.90
426.00,7.70
431.00,7.50
436.00,7.00
441.00,6.80
446.00,6.70
451.00,6.50
456.00,6.40
461.00,6.30
466.00,6.10
471.00,5.90
476.00,5.80
481.00,5.70
486.00,5.70
491.00,5.60
496.00,5.70
501.00,6.20
506.00,6.90
511.00,7.90
516.00,8.80
521.00,9.80
526.00,10.50
531.00,10.90
536.00,11.40
541.00,11.70
546.00,12.00
551.00,12.30
556.00,12.50
561.00,12.60
566.00,12.60
571.00,12.60
591.00,9.80
596.00,10.00
601.00,10.20
606.00,10.40
611.00,10.40
616.00,10.40
621.00,10.40
626.00,10.50
631.00,10.50
636.00,10.40
641.00,10.30
646.00,9.90
651.00,9.40
656.00,8.90
661.00,8.50
666.00,7.90
671.00,7.30
676.00,6.90
681.00,6.70
686.00,6.40
691.00,6.30
696.00,6.10
701.00,5.90
706.00,5.60
711.00,5.30
716.00,4.90
721.00,4.60
726.00,4.40
731.00,4.20
736.00,4.40
741.00,4.80
746.00,4.90
751.00,4.80
756.00,4.80
761.00,5.00
766.00,5.40
771.00,5.60
776.00,6.30
781.00,7.00
786.00,7.90
791.00,8.70
796.00,10.30
801.00,11.00
806.00,11.30
811.00,11.40
816.00,11.60
821.00,11.60
826.00,11.30
831.00,10.90
836.00,10.50
841.00,10.20
846.00,9.90
851.00,9.80
856.00,9.60
861.00,9.30
866.00,9.10
871.00,8.80
876.00,8.40
881.00,8.00
886.00,7.70
891.00,7.30
896.00,6.80
901.00,6.30
906.00,6.10
911.00,5.90
916.00,5.80
921.00,5.60
926.00,5.50
931.00,5.40
936.00,5.30
941.00,5.20
946.00,5.10
951.00,5.00
956.00,5.20
961.00,5.60
966.00,6.10
971.00,6.60
976.00,7.10
981.00,7.60
986.00,8.00
991.00,8.20
996.00,8.30
1001.00,8.10
1006.00,7.90
1011.00,7.60
1016.00,7.30
1021.00,6.90
1026.00,6.70
1031.00,6.50
1036.00,6.30
1041.00,6.10
1046.00,5.70
1051.00,5.40
1056.00,5.10
1061.00,4.80
1066.00,4.60
1071.00,4.30
1076.00,4.20
1081.00,4.00
1086.00,3.90
1091.00,4.40
1096.00,5.20
1101.00,6.20
1106.00,7.30
1111.00,8.20
1116.00,8.70
1121.00,8.40
1126.00,8.30
1131.00,7.80
1136.00,7.40
1141.00,6.90
1146.00,6.40
1151.00,6.00
1156.00,5.90
1161.00,6.10
1166.00,6.50
1171.00,6.90
1176.00,7.70
1181.00,8.20
1186.00,8.40
1191.00,8.70
1196.00,9.10
1201.00,9.70
1206.00,10.20
1211.00,10.70
1216.00,10.90
1221.00,10.90
1226.00,10.80
1231.00,10.70
1236.00,10.60
1241.00,10.50
1246.00,10.30
1251.00,9.80
1256.00,9.40
1261.00,9.20
1266.00,8.60
1271.00,7.80
1276.00,7.10
1281.00,6.70
1286.00,6.40
1291.00,6.20
1311.00,4.30
1316.00,3.80
1321.00,4.00
1326.00,3.90
1331.00,3.90
1336.00,4.00
1341.00,4.00
1346.00,4.00
1351.00,3.90
1356.00,3.70
1361.00,3.80
1366.00,4.10
1371.00,4.10
1376.00,4.00
1381.00,3.90
1386.00,4.00
1391.00,4.00
1396.00,4.20
1401.00,4.10
1406.00,3.80
1411.00,4.00
1416.00,4.10
1421.00,3.90
1426.00,3.90
1431.00,3.90
1436.00,3.80
